#alpha;r;gamma;n;K
5.6500000000000006E-01;1.3049999999999997E+00;-1.7100540340782555E+00;2.3049999999999997E+00;2.0775049274834057E+01
5.7000000000000006E-01;1.2899999999999998E+00;-1.6989349828878924E+00;2.2900000000000000E+00;2.1368369865394154E+01
5.7500000000000007E-01;1.2749999999999999E+00;-1.6879016953514150E+00;2.2749999999999999E+00;2.1987728170667740E+01
5.7999999999999996E-01;1.2600000000000002E+00;-1.6769534595244364E+00;2.2600000000000002E+00;2.2634616395697496E+01
5.8499999999999996E-01;1.2450000000000001E+00;-1.6660895696293876E+00;2.2450000000000001E+00;2.3310632380650656E+01
5.8999999999999997E-01;1.2300000000000000E+00;-1.6553093260005061E+00;2.2300000000000000E+00;2.4017488515844313E+01
5.9499999999999997E-01;1.2150000000000001E+00;-1.6446120350294624E+00;2.2149999999999999E+00;2.4757021532466815E+01
5.9999999999999998E-01;1.2000000000000002E+00;-1.6339970091113731E+00;2.2000000000000002E+00;2.5531203267365200E+01
6.0499999999999998E-01;1.1850000000000001E+00;-1.6234635665913584E+00;2.1850000000000001E+00;2.6342152512744157E+01
6.0999999999999999E-01;1.1699999999999999E+00;-1.6130110317115516E+00;2.1699999999999999E+00;2.7192148075853463E+01
6.1499999999999999E-01;1.1550000000000000E+00;-1.6026387345586282E+00;2.1550000000000002E+00;2.8083643190019178E+01
6.2000000000000000E-01;1.1400000000000001E+00;-1.5923460110117869E+00;2.1400000000000001E+00;2.9019281437013174E+01
6.2500000000000000E-01;1.1250000000000000E+00;-1.5821322026911879E+00;2.1250000000000000E+00;3.0001914362144007E+01
6.3000000000000000E-01;1.1099999999999999E+00;-1.5719966569069099E+00;2.1099999999999999E+00;3.1034620988034472E+01
6.3500000000000001E-01;1.0950000000000000E+00;-1.5619387266083207E+00;2.0949999999999998E+00;3.2120729461351473E+01
6.4000000000000001E-01;1.0800000000000001E+00;-1.5519577703339205E+00;2.0800000000000001E+00;3.3263841099406733E+01
6.4500000000000002E-01;1.0649999999999999E+00;-1.5420531521616596E+00;2.0649999999999999E+00;3.4467857141281719E+01
6.5000000000000002E-01;1.0499999999999998E+00;-1.5322242416597021E+00;2.0499999999999998E+00;3.5737008551829796E+01
6.5500000000000003E-01;1.0349999999999999E+00;-1.5224704138375933E+00;2.0350000000000001E+00;3.7075889277617200E+01
6.6000000000000003E-01;1.0200000000000000E+00;-1.5127910490979306E+00;2.0200000000000000E+00;3.8489493412831543E+01
6.6500000000000004E-01;1.0049999999999999E+00;-1.5031855331884563E+00;2.0049999999999999E+00;3.9983256801892701E+01
6.7000000000000004E-01;9.8999999999999988E-01;-1.4936532571545469E+00;1.9899999999999998E+00;4.1563103685743030E+01
6.7500000000000004E-01;9.7499999999999987E-01;-1.4841936172921735E+00;1.9749999999999999E+00;4.3235499092716950E+01
6.8000000000000005E-01;9.5999999999999985E-01;-1.4748060151012852E+00;1.9600000000000000E+00;4.5007507785073422E+01
6.8500000000000005E-01;9.4499999999999984E-01;-1.4654898572395971E+00;1.9449999999999998E+00;4.6886860701855191E+01
6.9000000000000006E-01;9.2999999999999983E-01;-1.4562445554768093E+00;1.9299999999999997E+00;4.8882029991501128E+01
6.9500000000000006E-01;9.1499999999999981E-01;-1.4470695266492368E+00;1.9149999999999998E+00;5.1002313908185720E+01
7.0000000000000007E-01;8.9999999999999980E-01;-1.4379641926148421E+00;1.8999999999999999E+00;5.3257933059808998E+01
7.0499999999999996E-01;8.8500000000000012E-01;-1.4289279802087067E+00;1.8850000000000002E+00;5.5660139749777962E+01
7.0999999999999996E-01;8.7000000000000011E-01;-1.4199603211988661E+00;1.8700000000000001E+00;5.8221342457618825E+01
7.1499999999999997E-01;8.5500000000000009E-01;-1.4110606522425619E+00;1.8550000000000000E+00;6.0955247865418741E+01
7.1999999999999997E-01;8.4000000000000008E-01;-1.4022284148429081E+00;1.8400000000000001E+00;6.3877023270905049E+01
7.2499999999999998E-01;8.2500000000000007E-01;-1.3934630553058980E+00;1.8250000000000002E+00;6.7003482749494694E+01
7.2999999999999998E-01;8.1000000000000005E-01;-1.3847640246978714E+00;1.8100000000000001E+00;7.0353301056641328E+01
7.3499999999999999E-01;7.9500000000000004E-01;-1.3761307788033117E+00;1.7949999999999999E+00;7.3947260022881267E+01
7.3999999999999999E-01;7.8000000000000003E-01;-1.3675627780830275E+00;1.7800000000000000E+00;7.7808533118060282E+01
7.4500000000000000E-01;7.6500000000000001E-01;-1.3590594876327717E+00;1.7650000000000001E+00;8.1963014987163106E+01
7.5000000000000000E-01;7.5000000000000000E-01;-1.3506203771421414E+00;1.7500000000000000E+00;8.6439704137097053E+01
7.5500000000000000E-01;7.3499999999999999E-01;-1.3422449208539207E+00;1.7349999999999999E+00;9.1271148644113978E+01
